,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Kavaratti,IN,10.5669,72.642,81.59,79,100,22.3,overcast clouds
79,Poso,ID,-1.3959,120.7524,76.46,92,99,3.67,overcast clouds
80,Provideniya,RU,64.3833,-173.3,33.58,95,89,4.59,overcast clouds
81,Colomiers,FR,43.6167,1.35,85.24,40,20,11.5,few clouds
82,Podosinovets,RU,60.2776,47.0659,42.96,96,100,3.65,overcast clouds
83,Maracacume,BR,-2.0428,-45.9592,83.35,84,91,5.59,light rain
84,Lebu,CL,-37.6167,-73.65,54.66,68,90,18.52,overcast clouds
85,Lubango,AO,-14.9172,13.4925,63.45,41,3,5.61,clear sky
86,Atuona,PF,-9.8,-139.0333,78.69,72,96,19.39,overcast clouds
87,Kodiak,US,57.79,-152.4072,40.51,81,75,6.91,broken clouds
88,Leshukonskoye,RU,64.8989,45.7622,52.77,87,87,6.22,moderate rain
89,Reyes,BO,-14.3167,-67.3833,89.92,47,20,3.51,few clouds
90,Upernavik,GL,72.7868,-56.1549,20.14,71,14,3.09,few clouds
91,Bredasdorp,ZA,-34.5322,20.0403,56.73,72,67,3.89,broken clouds
92,Tuktoyaktuk,CA,69.4541,-133.0374,27.37,77,59,9.35,broken clouds
93,Yellowknife,CA,62.456,-114.3525,53.56,40,37,13.0,scattered clouds
94,Lompoc,US,34.6391,-120.4579,85.84,55,0,12.66,clear sky
95,Laguna,US,38.421,-121.4238,79.09,48,0,8.05,clear sky
96,Khatanga,RU,71.9667,102.5,33.55,99,100,7.56,overcast clouds
97,Komsomolskiy,UZ,40.4272,71.7189,61.52,82,75,4.61,broken clouds
98,Bethel,US,41.3712,-73.414,80.19,68,100,5.75,overcast clouds
99,Merauke,ID,-8.4667,140.3333,80.13,74,100,8.08,overcast clouds
100,Rabo De Peixe,PT,37.8,-25.5833,66.27,91,40,21.85,scattered clouds
101,Hasaki,JP,35.7333,140.8333,64.8,79,100,22.24,overcast clouds
102,Mahebourg,MU,-20.4081,57.7,75.49,73,40,8.05,scattered clouds
103,Imbituba,BR,-28.24,-48.6703,72.09,83,40,13.0,scattered clouds
104,Tilichiki,RU,60.4667,166.1,33.24,99,100,1.3,overcast clouds
105,Tasiilaq,GL,65.6145,-37.6368,30.36,63,72,3.8,broken clouds
106,Maceio,BR,-9.6658,-35.7353,81.84,74,75,10.36,broken clouds
107,Busselton,AU,-33.65,115.3333,58.5,67,85,11.23,overcast clouds
108,Haines Junction,CA,60.7522,-137.5108,42.75,52,82,8.05,broken clouds
109,Hilo,US,19.7297,-155.09,73.62,91,20,3.44,few clouds
110,Tabas,IR,33.5959,56.9244,73.17,29,5,16.96,clear sky
111,Oussouye,SN,12.485,-16.5469,86.94,43,56,14.58,broken clouds
112,Yeppoon,AU,-23.1333,150.7333,64.18,88,1,1.57,clear sky
113,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,70,27,12.28,scattered clouds
114,Cherskiy,RU,68.75,161.3,34.54,99,100,7.87,snow
115,Hithadhoo,MV,-0.6,73.0833,83.3,69,67,9.22,broken clouds
116,Banda Aceh,ID,5.5577,95.3222,81.36,82,100,1.92,overcast clouds
117,Bluff,NZ,-46.6,168.3333,43.81,74,100,6.58,overcast clouds
118,Klaksvik,FO,62.2266,-6.589,47.32,89,100,2.57,overcast clouds
119,Homer,US,59.6425,-151.5483,42.69,66,0,5.99,clear sky
120,Japura,ID,-0.3167,102.35,76.1,97,28,2.71,scattered clouds
121,Iqaluit,CA,63.7506,-68.5145,20.93,79,75,20.71,light snow
122,Padang,ID,-0.9492,100.3543,79.52,82,35,3.49,scattered clouds
123,Igrim,RU,63.1906,64.4162,48.96,75,20,8.3,few clouds
124,Saldanha,ZA,-33.0117,17.9442,60.21,81,0,15.46,clear sky
125,Hambantota,LK,6.1241,81.1185,78.35,89,100,25.99,overcast clouds
126,Biltine,TD,14.5333,20.9167,99.09,11,16,8.7,few clouds
127,Berlevag,NO,70.8578,29.0864,42.6,75,28,9.22,scattered clouds
128,Le Moule,GP,16.3332,-61.3473,84.24,100,31,8.01,scattered clouds
129,Ulaangom,MN,49.9811,92.0667,54.99,21,0,0.27,clear sky
130,Caravelas,BR,-17.7125,-39.2481,78.75,69,100,10.11,overcast clouds
131,Pushkino,RU,56.0172,37.8667,53.89,65,52,8.86,broken clouds
132,Akot,IN,21.0964,77.0586,98.92,21,7,9.98,clear sky
133,Coihaique,CL,-45.5752,-72.0662,51.75,54,0,3.44,clear sky
134,Alice Springs,AU,-23.7,133.8833,60.35,55,1,6.91,clear sky
135,Luderitz,NA,-26.6481,15.1594,61.61,60,0,14.34,clear sky
136,Pacific Grove,US,36.6177,-121.9166,71.35,82,40,5.01,scattered clouds
137,El Jicaro,GT,14.9167,-89.9,90.93,30,26,3.58,scattered clouds
138,Navolato,MX,24.7672,-107.6944,90.64,24,99,8.14,overcast clouds
139,Domoni,KM,-12.2569,44.5319,78.53,80,15,6.04,few clouds
140,Carnarvon,AU,-24.8667,113.6333,66.09,48,0,16.58,clear sky
141,Ahipara,NZ,-35.1667,173.1667,61.39,82,56,9.28,broken clouds
142,Airai,TL,-8.9266,125.4092,61.75,96,77,0.94,broken clouds
143,Leningradskiy,RU,69.3833,178.4167,28.44,87,83,5.23,broken clouds
144,Yeghegnut,AM,40.0919,44.1602,69.15,38,87,2.08,overcast clouds
145,Matiri,TZ,-10.75,34.9,58.12,86,19,3.04,few clouds
146,Zakharovo,RU,54.366,39.2792,48.78,85,73,7.14,broken clouds
147,Thompson,CA,55.7435,-97.8558,40.3,98,100,7.4,overcast clouds
148,Alofi,NU,-19.0595,-169.9187,73.29,60,100,6.91,overcast clouds
149,Green River,US,41.5286,-109.4662,63.19,25,31,19.73,scattered clouds
150,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,37.78,100,100,7.92,overcast clouds
151,At-Bashi,KG,41.1702,75.8106,51.78,79,97,3.47,overcast clouds
152,Fortuna,US,40.5982,-124.1573,70.93,83,40,4.0,scattered clouds
153,Georgetown,MY,5.4112,100.3354,84.13,79,20,2.3,few clouds
154,Sandpoint,US,48.2766,-116.5533,47.44,67,100,7.0,overcast clouds
155,Mayo,US,38.8876,-76.5119,70.21,93,100,5.75,moderate rain
156,Lagoa,PT,39.05,-27.9833,61.38,83,100,25.99,light rain
157,Port Alfred,ZA,-33.5906,26.891,57.18,89,45,7.47,scattered clouds
158,Kudahuvadhoo,MV,2.6708,72.8944,82.38,79,100,15.68,overcast clouds
159,Dublin,US,37.7021,-121.9358,75.0,64,0,4.61,clear sky
160,Kalabo,ZM,-14.97,22.6814,69.62,42,4,2.35,clear sky
161,Ostrovnoy,RU,68.0531,39.5131,38.84,84,97,5.97,overcast clouds
162,Lahad Datu,MY,5.0268,118.327,77.22,92,94,2.19,overcast clouds
163,Dedougou,BF,12.4667,-3.4667,107.53,4,69,10.85,broken clouds
164,Esperance,AU,-33.8667,121.9,58.23,73,18,21.41,few clouds
165,Virginia Beach,US,36.8529,-75.978,75.25,85,100,12.66,overcast clouds
166,Beyneu,KZ,45.3167,55.2,70.39,39,6,7.49,clear sky
167,Michigan City,US,41.7075,-86.895,77.81,76,100,6.91,light rain
168,Jalu,LY,29.0331,21.5482,80.02,23,0,12.28,clear sky
169,Harper,LR,4.375,-7.7169,74.44,88,95,8.21,moderate rain
170,Gao,ML,16.6362,1.637,106.63,5,85,2.39,overcast clouds
171,Magrath,CA,49.4167,-112.8686,53.74,40,74,9.22,broken clouds
172,Saint-Joseph,RE,-21.3667,55.6167,71.98,77,41,12.75,scattered clouds
173,Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,80,63,20.0,broken clouds
174,Sao Filipe,CV,14.8961,-24.4956,78.35,63,66,5.44,broken clouds
175,Karaman,TR,37.0833,33.25,63.05,46,75,13.87,broken clouds
176,Elko,US,41.0002,-115.5012,64.42,34,52,13.0,broken clouds
177,Pochutla,MX,15.7432,-96.4661,89.82,46,91,8.9,overcast clouds
178,Pimenteiras,BR,-6.2453,-41.4192,92.57,38,89,7.94,overcast clouds
179,Souillac,MU,-20.5167,57.5167,75.58,73,40,8.05,scattered clouds
180,Jinchang,CN,38.4953,102.1739,50.22,40,93,4.52,overcast clouds
181,Chuy,UY,-33.6971,-53.4616,65.75,63,44,7.38,scattered clouds
182,Kovur,IN,14.4833,79.9833,85.62,76,35,9.93,scattered clouds
183,Toropets,RU,56.4978,31.6353,49.44,77,100,6.26,overcast clouds
184,Caconda,AO,-13.7333,15.0667,67.24,46,30,3.98,scattered clouds
185,Cap Malheureux,MU,-19.9842,57.6142,73.47,72,2,5.01,clear sky
186,Flinders,AU,-34.5833,150.8552,68.18,92,31,4.0,scattered clouds
187,Helong,CN,42.5397,128.9972,38.77,78,82,7.18,broken clouds
188,Oliver,CA,49.1831,-119.5524,49.51,64,98,6.58,overcast clouds
189,Gizo,SB,-8.103,156.8419,81.3,78,33,4.85,scattered clouds
190,Chokurdakh,RU,70.6333,147.9167,6.98,97,99,3.94,overcast clouds
191,Benghazi,LY,32.1167,20.0667,67.84,69,0,12.46,clear sky
192,Whitehorse,CA,60.7161,-135.0538,38.17,48,100,4.61,overcast clouds
193,Henties Bay,NA,-22.116,14.2845,58.96,79,0,9.84,clear sky
194,Quang Ngai,VN,15.1167,108.8,79.41,92,98,3.36,heavy intensity rain
195,Adre,TD,13.4667,22.2,85.57,35,73,18.37,broken clouds
196,Lavrentiya,RU,65.5833,-171.0,27.34,93,52,6.2,broken clouds
197,Ruteng,ID,-8.6136,120.4721,63.41,95,38,0.76,scattered clouds
198,Port Elizabeth,ZA,-33.918,25.5701,61.32,86,0,3.44,clear sky
199,Avarua,CK,-21.2078,-159.775,80.65,78,75,12.66,broken clouds
200,Torbay,CA,47.6666,-52.7314,40.28,92,100,14.97,light rain
201,Bambous Virieux,MU,-20.3428,57.7575,75.45,73,40,8.05,scattered clouds
202,Ambilobe,MG,-13.2,49.05,71.49,77,0,3.69,clear sky
203,Naze,JP,28.3667,129.4833,65.32,89,100,8.88,light rain
